vehicleId,tripId,timeUnix,outdoorTemperature,temperatureRotorFront,temperatureRotorBack,velocity
3659478-10880825,3659478-10880825-1,1630507038000,25.5,35.0,41.0,59.25
3659478-10880825,3659478-10880825-1,1630507039000,25.5,35.0,41.0,58.69
3659478-10880825,3659478-10880825-1,1630507040000,25.5,35.0,41.0,57.23
3659478-10880825,3659478-10880825-1,1630507041000,25.5,35.0,41.0,55.82
3659478-10880825,3659478-10880825-1,1630507042000,25.5,35.0,41.0,54.48
3659478-10880825,3659478-10880825-1,1630507043000,25.5,35.0,41.0,54.12
3659478-10880825,3659478-10880825-1,1630507044000,25.5,35.0,42.0,55.2
3659478-10880825,3659478-10880825-1,1630507045000,25.5,35.0,42.0,56.7
3659478-10880825,3659478-10880825-1,1630507046000,25.5,35.0,42.0,58.17
3659478-10880825,3659478-10880825-1,1630507047000,25.5,35.0,42.0,58.05
3659478-10880825,3659478-10880825-1,1630507048000,25.5,35.0,42.0,57.97
3659478-10880825,3659478-10880825-1,1630507049000,25.5,34.0,42.0,58.01
3659478-10880825,3659478-10880825-1,1630507050000,25.5,34.0,42.0,58.18
3659478-10880825,3659478-10880825-1,1630507051000,25.5,34.0,42.0,58.84
3659478-10880825,3659478-10880825-1,1630507052000,25.5,34.0,42.0,59.69
3659478-10880825,3659478-10880825-1,1630507053000,25.5,34.0,42.0,60.5
3659478-10880825,3659478-10880825-1,1630507054000,25.5,34.0,42.0,61.33
3659478-10880825,3659478-10880825-1,1630507055000,25.5,34.0,43.0,62.16
3659478-10880825,3659478-10880825-1,1630507056000,25.5,34.0,43.0,62.97
3659478-10880825,3659478-10880825-1,1630507057000,25.5,34.0,43.0,63.74
3659478-10880825,3659478-10880825-1,1630507058000,25.5,34.0,43.0,64.51
3659478-10880825,3659478-10880825-1,1630507059000,25.5,34.0,43.0,64.94
3659478-10880825,3659478-10880825-1,1630507060000,25.5,34.0,43.0,64.8
3659478-10880825,3659478-10880825-1,1630507061000,25.5,34.0,43.0,64.06
3659478-10880825,3659478-10880825-1,1630507062000,25.5,34.0,43.0,63.06
3659478-10880825,3659478-10880825-1,1630507063000,25.5,34.0,43.0,62.09
3659478-10880825,3659478-10880825-1,1630507064000,25.5,34.0,43.0,61.63
3659478-10880825,3659478-10880825-1,1630507065000,25.5,34.0,43.0,61.5
3659478-10880825,3659478-10880825-1,1630507066000,25.5,34.0,43.0,61.4
3659478-10880825,3659478-10880825-1,1630507067000,25.5,34.0,43.0,61.28
3659478-10880825,3659478-10880825-1,1630507068000,25.5,34.0,43.0,61.02
3659478-10880825,3659478-10880825-1,1630507069000,25.5,34.0,43.0,60.75
3659478-10880825,3659478-10880825-1,1630507070000,25.5,34.0,43.0,59.96
3659478-10880825,3659478-10880825-1,1630507071000,25.5,34.0,43.0,58.92
3659478-10880825,3659478-10880825-1,1630507072000,25.5,34.0,43.0,57.89
3659478-10880825,3659478-10880825-1,1630507073000,25.5,34.0,43.0,56.86
3659478-10880825,3659478-10880825-1,1630507074000,25.5,34.0,43.0,55.93
3659478-10880825,3659478-10880825-1,1630507075000,25.5,34.0,43.0,55.32
3659478-10880825,3659478-10880825-1,1630507076000,25.5,34.0,43.0,56.45
3659478-10880825,3659478-10880825-1,1630507077000,25.5,34.0,43.0,56.99
3659478-10880825,3659478-10880825-1,1630507078000,25.5,34.0,43.0,56.98
3659478-10880825,3659478-10880825-1,1630507079000,25.5,34.0,43.0,56.68
3659478-10880825,3659478-10880825-1,1630507080000,25.5,34.0,43.0,56.4
3659478-10880825,3659478-10880825-1,1630507081000,25.5,34.0,44.0,56.14
3659478-10880825,3659478-10880825-1,1630507082000,25.5,34.0,44.0,55.98
